system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2
Ag_Fe_C_din4_x2_c6,-629.086,Ag,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ag_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-3.20700575,-8.6197175,-4.081276750000015
Au_Fe_C_din4_x2_c6,-630.74,Au,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Au_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-3.8767095,-8.6197175,-5.065573000000011
Cd_Fe_C_din4_x2_c6,-627.199,Cd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-1.2330587,-8.6197175,-4.168223799999957
Co_Fe_C_din4_x2_c6,-635.247,Co,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Co_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-7.3844395,-8.6197175,-6.064842999999961
Cu_Fe_C_din4_x2_c6,-631.95,Cu,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cu_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-4.23458825,-8.6197175,-5.917694250000048
Fe_Fe_C_din4_x2_c6,-636.278,Fe,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Fe_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-8.6197175,-8.6197175,-5.8605650000000225
Ir_Fe_C_din4_x2_c6,-636.896,Ir,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ir_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-9.56008375,-8.6197175,-5.53819874999996
Ni_Fe_C_din4_x2_c6,-634.05,Ni,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ni_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-5.86878875,-8.6197175,-6.383493749999957
Os_Fe_C_din4_x2_c6,-636.656,Os,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Os_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-11.839378,-8.6197175,-3.0189044999999517
Pd_Fe_C_din4_x2_c6,-632.575,Pd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Pd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-5.79450325,-8.6197175,-4.982779250000048
