system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe
Ag_Fe_C_din4_x2_c6,-629.086,Ag,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ag_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ag,-3.20700575,107.8682,211,128,139,55.0,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1,-3.20700575,Fe_C_din4_x2_c6,-625.429,-0.44999425000003157
Au_Fe_C_din4_x2_c6,-630.74,Au,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Au_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_C_din4_x2_c6,-625.429,-1.4342905000000883
Cd_Fe_C_din4_x2_c6,-627.199,Cd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_C_din4_x2_c6,-625.429,-0.5369412999999668
Co_Fe_C_din4_x2_c6,-635.247,Co,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Co_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_C_din4_x2_c6,-625.429,-2.4335604999999987
Cu_Fe_C_din4_x2_c6,-631.95,Cu,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cu_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1,-4.23458825,Fe_C_din4_x2_c6,-625.429,-2.2864117500000702
Fe_Fe_C_din4_x2_c6,-636.278,Fe,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Fe_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Fe,-8.6197175,55.845,204,116,109,62.0,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1,-8.6197175,Fe_C_din4_x2_c6,-625.429,-2.2292825000000676
Ir_Fe_C_din4_x2_c6,-636.896,Ir,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ir_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ir,-9.56008375,192.217,213,122,115,54.0,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17.0,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1,-9.56008375,Fe_C_din4_x2_c6,-625.429,-1.9069162499999948
Ni_Fe_C_din4_x2_c6,-634.05,Ni,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ni_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ni,-5.86878875,58.6934,197,110,101,49.0,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1,-5.86878875,Fe_C_din4_x2_c6,-625.429,-2.7522112499999594
Os_Fe_C_din4_x2_c6,-636.656,Os,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Os_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Os,-11.839378,190.23,216,129,116,57.0,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17.0,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1,-11.839378,Fe_C_din4_x2_c6,-625.429,0.6123780000000352
Pd_Fe_C_din4_x2_c6,-632.575,Pd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Pd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0.0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1,-5.79450325,Fe_C_din4_x2_c6,-625.429,-1.351496750000024
