system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint
Ag_Fe_C_din4_x2_c6,-629.086,Ag,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ag_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ag_C_din4_x2_c6,-622.023,Fe_C_din4_x2_c6,-625.429,5.1879999999998745
Au_Fe_C_din4_x2_c6,-630.74,Au,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Au_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Au_C_din4_x2_c6,-624.02,Fe_C_din4_x2_c6,-625.429,5.530999999999835
Cd_Fe_C_din4_x2_c6,-627.199,Cd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Cd_C_din4_x2_c6,-616.759,Fe_C_din4_x2_c6,-625.429,1.8110000000000355
Co_Fe_C_din4_x2_c6,-635.247,Co,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Co_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Co_C_din4_x2_c6,-623.847,Fe_C_din4_x2_c6,-625.429,0.8509999999999991
Cu_Fe_C_din4_x2_c6,-631.95,Cu,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Cu_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Cu_C_din4_x2_c6,-623.033,Fe_C_din4_x2_c6,-625.429,3.3339999999998327
Fe_Fe_C_din4_x2_c6,-636.278,Fe,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Fe_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Fe_C_din4_x2_c6,-625.429,Fe_C_din4_x2_c6,-625.429,1.4019999999998163
Ir_Fe_C_din4_x2_c6,-636.896,Ir,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ir_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ir_C_din4_x2_c6,-628.371,Fe_C_din4_x2_c6,-625.429,3.7259999999998854
Ni_Fe_C_din4_x2_c6,-634.05,Ni,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ni_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ni_C_din4_x2_c6,-624.669,Fe_C_din4_x2_c6,-625.429,2.869999999999891
Os_Fe_C_din4_x2_c6,-636.656,Os,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Os_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Os_C_din4_x2_c6,-629.574,Fe_C_din4_x2_c6,-625.429,5.169000000000096
Pd_Fe_C_din4_x2_c6,-632.575,Pd,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Pd_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Pd_C_din4_x2_c6,-621.945,Fe_C_din4_x2_c6,-625.429,1.6209999999998672
Pt_Fe_C_din4_x2_c6,-634.83,Pt,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Pt_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Pt_C_din4_x2_c6,-623.539,Fe_C_din4_x2_c6,-625.429,0.9599999999999227
Rh_Fe_C_din4_x2_c6,-633.731,Rh,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Rh_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Rh_C_din4_x2_c6,-624.636,Fe_C_din4_x2_c6,-625.429,3.1559999999998354
Ru_Fe_C_din4_x2_c6,-635.29,Ru,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ru_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Ru_C_din4_x2_c6,-627.485,Fe_C_din4_x2_c6,-625.429,4.44600000000014
Zn_Fe_C_din4_x2_c6,-628.181,Zn,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Zn_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,Zn_C_din4_x2_c6,-618.385,Fe_C_din4_x2_c6,-625.429,2.455000000000041
Ag_Fe_N_din4_x2_c0,-629.472,Ag,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ag_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ag_N_din4_x2_c0,-619.161,Fe_N_din4_x2_c0,-627.485,2.8769999999999527
Au_Fe_N_din4_x2_c0,-630.589,Au,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Au_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Au_N_din4_x2_c0,-620.183,Fe_N_din4_x2_c0,-627.485,2.782000000000039
Cd_Fe_N_din4_x2_c0,-628.529,Cd,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Cd_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Cd_N_din4_x2_c0,-618.024,Fe_N_din4_x2_c0,-627.485,2.6829999999999927
Co_Fe_N_din4_x2_c0,-637.499,Co,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Co_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Co_N_din4_x2_c0,-625.854,Fe_N_din4_x2_c0,-627.485,1.5430000000000064
Cu_Fe_N_din4_x2_c0,-632.182,Cu,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Cu_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Cu_N_din4_x2_c0,-621.457,Fe_N_din4_x2_c0,-627.485,2.4629999999999654
Fe_Fe_N_din4_x2_c0,-639.053,Fe,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Fe_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Fe_N_din4_x2_c0,-627.485,Fe_N_din4_x2_c0,-627.485,1.6200000000001182
Ir_Fe_N_din4_x2_c0,-638.494,Ir,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ir_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,Ir_N_din4_x2_c0,-627.742,Fe_N_din4_x2_c0,-627.485,2.435999999999808
