system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,M1_cavity,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Cd_Fe_N_din4_x2_c5_a,-627.273,Cd,Fe,N,din4,N_din4_x2_c5_a,Cd_N_din4_x2_c5_a,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,-1.2330587,-8.6197175,-2.571223799999977,
Ir_Fe_N_din4_x2_c5_b,-634.357,Ir,Fe,N,din4,N_din4_x2_c5_b,Ir_N_din4_x2_c5_b,Fe_N_din4_x2_c5_b,N_din4_x2_c5_b,-614.569,N,din4,-9.56008375,-8.6197175,-1.6081987500000103,
Cd_Fe_N_din4_x2_c5_b_v2,-619.791,Cd,Fe,N,din4,N_din4_x2_c5_b,Cd_N_din4_x2_c5_b_v2,Fe_N_din4_x2_c5_b_v2,N_din4_x2_c5_b,-614.569,N,din4,-1.2330587,-8.6197175,4.630776199999906,
Os_Fe_N_din6_as_c2_12,-637.991,Os,Fe,N,din6,N_din6_as_c2_12,Os_N_din6_as_c2_12,Fe_N_din6_as_c2_12,N_din6_as_c2_12,-616.787,N,din6,-11.839378,-8.6197175,-0.7449044999999508,
Os_Fe_N_din6_as_c2_26,-637.953,Os,Fe,N,din6,N_din6_as_c2_26,Os_N_din6_as_c2_26,Fe_N_din6_as_c2_26,N_din6_as_c2_26,-616.83,N,din6,-11.839378,-8.6197175,-0.6639044999999335,
Os_Fe_N_din6_as_c3_216,-637.631,Os,Fe,N,din6,N_din6_as_c3_216,Os_N_din6_as_c3_216,Fe_N_din6_as_c3_216,N_din6_as_c3_216,-617.265,N,din6,-11.839378,-8.6197175,0.09309550000001465,
Os_Fe_N_din6_as_c3_236,-637.846,Os,Fe,N,din6,N_din6_as_c3_236,Os_N_din6_as_c3_236,Fe_N_din6_as_c3_236,N_din6_as_c3_236,-615.994,N,din6,-11.839378,-8.6197175,-1.3929044999999753,
Zn_Fe_N_din6_s_c2_02,-610.256,Zn,Fe,N,din6,N_din6_s_c2_02,Zn_N_din6_s_c2_02,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,-1.61724415,-8.6197175,-1.1670383499999968,
Os_Fe_N_din6_s_c2_12,-617.036,Os,Fe,N,din6,N_din6_s_c2_12,Os_N_din6_s_c2_12,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,-11.839378,-8.6197175,2.122095500000011,
Ag_Fe_N_din6_s_c3_024,-609.47,Ag,Fe,N,din6,N_din6_s_c3_024,Ag_N_din6_s_c3_024,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-3.20700575,-8.6197175,0.20672324999999603,
Os_Fe_N_din6_s_c3_024,-618.02,Os,Fe,N,din6,N_din6_s_c3_024,Os_N_din6_s_c3_024,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-11.839378,-8.6197175,0.28909550000004103,
Zn_Fe_N_din6_s_c3_024,-610.2,Zn,Fe,N,din6,N_din6_s_c3_024,Zn_N_din6_s_c3_024,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-1.61724415,-8.6197175,-2.113038350000023,
Os_Fe_N_din6_s_c4_0124,-617.107,Os,Fe,N,din6,N_din6_s_c4_0124,Os_N_din6_s_c4_0124,Fe_N_din6_s_c4_0124,N_din6_s_c4_0124,-596.517,N,din6,-11.839378,-8.6197175,-0.13090449999991804,
Zn_Fe_N_din6_s_c4_0124,-610.072,Zn,Fe,N,din6,N_din6_s_c4_0124,Zn_N_din6_s_c4_0124,Fe_N_din6_s_c4_0124,N_din6_s_c4_0124,-596.517,N,din6,-1.61724415,-8.6197175,-3.3180383499999504,
Os_Fe_N_din6_s_c5,-617.009,Os,Fe,N,din6,N_din6_s_c5,Os_N_din6_s_c5,Fe_N_din6_s_c5,N_din6_s_c5,-595.157,N,din6,-11.839378,-8.6197175,-1.3929044999999753,
