system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Ag_Fe_N_din4_x2_c2_a,-629.159,Ag,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Ag_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-3.20700575,-8.6197175,0.4407232500000333,red
Au_Fe_N_din4_x2_c2_a,-630.105,Au,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a,2,Au_N_din4_x2_c2_a,din4_x2,Fe_N_din4_x2_c2_a,N_din4_x2_c2_a,-617.773,N,din4,-3.8767095,-8.6197175,0.16442700000000698,red
Cd_Fe_N_din4_x2_c5_a,-627.273,Cd,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Cd_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,-1.2330587,-8.6197175,-2.571223799999977,red
Os_Fe_N_din6_as_c2_12,-637.991,Os,Fe,N,din6,N_din6_as_c2_12,N_din6_as_c2_12,2,Os_N_din6_as_c2_12,din6_as,Fe_N_din6_as_c2_12,N_din6_as_c2_12,-616.787,N,din6,-11.839378,-8.6197175,-0.7449044999999508,green
Os_Fe_N_din6_as_c2_26,-637.953,Os,Fe,N,din6,N_din6_as_c2_26,N_din6_as_c2_26,2,Os_N_din6_as_c2_26,din6_as,Fe_N_din6_as_c2_26,N_din6_as_c2_26,-616.83,N,din6,-11.839378,-8.6197175,-0.6639044999999335,green
Os_Fe_N_din6_as_c3_216,-637.631,Os,Fe,N,din6,N_din6_as_c3_216,N_din6_as_c3_216,3,Os_N_din6_as_c3_216,din6_as,Fe_N_din6_as_c3_216,N_din6_as_c3_216,-617.265,N,din6,-11.839378,-8.6197175,0.09309550000001465,green
Os_Fe_N_din6_as_c3_236,-637.846,Os,Fe,N,din6,N_din6_as_c3_236,N_din6_as_c3_236,3,Os_N_din6_as_c3_236,din6_as,Fe_N_din6_as_c3_236,N_din6_as_c3_236,-615.994,N,din6,-11.839378,-8.6197175,-1.3929044999999753,green
Zn_Fe_N_din6_s_c2_02,-610.256,Zn,Fe,N,din6,N_din6_s_c2_02,N_din6_s_c2_02,2,Zn_N_din6_s_c2_02,din6_s,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,-1.61724415,-8.6197175,-1.1670383499999968,blue
Os_Fe_N_din6_s_c2_12,-617.036,Os,Fe,N,din6,N_din6_s_c2_12,N_din6_s_c2_12,2,Os_N_din6_s_c2_12,din6_s,Fe_N_din6_s_c2_12,N_din6_s_c2_12,-598.699,N,din6,-11.839378,-8.6197175,2.122095500000011,blue
Ag_Fe_N_din6_s_c3_024,-609.47,Ag,Fe,N,din6,N_din6_s_c3_024,N_din6_s_c3_024,3,Ag_N_din6_s_c3_024,din6_s,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-3.20700575,-8.6197175,0.20672324999999603,blue
Os_Fe_N_din6_s_c3_024,-618.02,Os,Fe,N,din6,N_din6_s_c3_024,N_din6_s_c3_024,3,Os_N_din6_s_c3_024,din6_s,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-11.839378,-8.6197175,0.28909550000004103,blue
Zn_Fe_N_din6_s_c3_024,-610.2,Zn,Fe,N,din6,N_din6_s_c3_024,N_din6_s_c3_024,3,Zn_N_din6_s_c3_024,din6_s,Fe_N_din6_s_c3_024,N_din6_s_c3_024,-597.85,N,din6,-1.61724415,-8.6197175,-2.113038350000023,blue
Os_Fe_N_din6_s_c4_0124,-617.107,Os,Fe,N,din6,N_din6_s_c4_0124,N_din6_s_c4_0124,4,Os_N_din6_s_c4_0124,din6_s,Fe_N_din6_s_c4_0124,N_din6_s_c4_0124,-596.517,N,din6,-11.839378,-8.6197175,-0.13090449999991804,blue
Zn_Fe_N_din6_s_c4_0124,-610.072,Zn,Fe,N,din6,N_din6_s_c4_0124,N_din6_s_c4_0124,4,Zn_N_din6_s_c4_0124,din6_s,Fe_N_din6_s_c4_0124,N_din6_s_c4_0124,-596.517,N,din6,-1.61724415,-8.6197175,-3.3180383499999504,blue
Os_Fe_N_din6_s_c5,-617.009,Os,Fe,N,din6,N_din6_s_c5,N_din6_s_c5,5,Os_N_din6_s_c5,din6_s,Fe_N_din6_s_c5,N_din6_s_c5,-595.157,N,din6,-11.839378,-8.6197175,-1.3929044999999753,blue
