system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Ag_Fe_N_din4_x2_c1_a_v2,-630.13,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ag_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ag_N_din4_x2_c1_a_v2,-620.726,Fe_N_din4_x2_c1_a_v2,-628.127,1.9470000000000027,red
Cd_Fe_N_din4_x2_c1_a_v2,-628.302,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Cd_N_din4_x2_c1_a_v2,-620.064,Fe_N_din4_x2_c1_a_v2,-628.127,3.1129999999999427,red
Ni_Fe_N_din4_x2_c1_a_v2,-635.793,Ni,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ni_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Ni_N_din4_x2_c1_a_v2,-624.165,Fe_N_din4_x2_c1_a_v2,-628.127,-0.27700000000004366,red
Zn_Fe_N_din4_x2_c1_a_v2,-628.766,Zn,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Zn_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,Zn_N_din4_x2_c1_a_v2,-620.967,Fe_N_din4_x2_c1_a_v2,-628.127,3.552000000000021,red
Cd_Fe_N_din4_x2_c2_a_v2,-627.497,Cd,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a_v2,2,Cd_N_din4_x2_c2_a_v2,din4_x2,Fe_N_din4_x2_c2_a_v2,N_din4_x2_c2_a,-617.773,N,din4,Cd_N_din4_x2_c2_a_v2,-622.143,Fe_N_din4_x2_c2_a_v2,-629.032,5.905000000000086,red
Rh_Fe_N_din4_x2_c2_b_v2,-633.473,Rh,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b_v2,2,Rh_N_din4_x2_c2_b_v2,din4_x2,Fe_N_din4_x2_c2_b_v2,N_din4_x2_c2_b,-616.48,N,din4,Rh_N_din4_x2_c2_b_v2,-627.16,Fe_N_din4_x2_c2_b_v2,-628.016,5.222999999999956,red
Zn_Fe_N_din4_x2_c2_d,-628.68,Zn,Fe,N,din4,N_din4_x2_c2_d,N_din4_x2_c2_d,2,Zn_N_din4_x2_c2_d,din4_x2,Fe_N_din4_x2_c2_d,N_din4_x2_c2_d,-615.769,N,din4,Zn_N_din4_x2_c2_d,-620.842,Fe_N_din4_x2_c2_d,-627.784,4.176999999999907,red
Cd_Fe_N_din4_x2_c2_e,-627.674,Cd,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e,2,Cd_N_din4_x2_c2_e,din4_x2,Fe_N_din4_x2_c2_e,N_din4_x2_c2_e,-616.48,N,din4,Cd_N_din4_x2_c2_e,-620.581,Fe_N_din4_x2_c2_e,-628.016,4.442999999999984,red
Au_Fe_N_din4_x2_c3_b_v2,-629.783,Au,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Au_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Au_N_din4_x2_c3_b_v2,-611.002,Fe_N_din4_x2_c3_b_v2,-627.272,-8.100999999999999,red
Cd_Fe_N_din4_x2_c3_b_v2,-628.045,Cd,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Cd_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Cd_N_din4_x2_c3_b_v2,-609.536,Fe_N_din4_x2_c3_b_v2,-627.272,-7.828999999999951,red
