system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2
Os_Fe_C_din4_x2_c6,-636.656,Os,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Os_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-11.839378,-8.6197175,-3.0189044999999517
Ru_Fe_C_din4_x2_c6,-635.29,Ru,Fe,C,din4,C_din4_x2_c6,C_din4_x2_c6,6,Ru_C_din4_x2_c6,din4_x2,Fe_C_din4_x2_c6,C_din4_x2_c6,-613.178,C,din4,-9.8124665,-8.6197175,-3.679815999999967
Ru_Fe_N_din4_x2_c0,-638.992,Ru,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ru_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-9.8124665,-8.6197175,-6.262815999999937
Co_Fe_N_din4_x2_c1_a,-637.576,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Co_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-7.3844395,-8.6197175,-4.795843000000069
Fe_Fe_N_din4_x2_c1_a,-638.958,Fe,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Fe_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-8.6197175,-8.6197175,-4.942565000000016
Ru_Fe_N_din4_x2_c1_a,-639.121,Ru,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Ru_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,-9.8124665,-8.6197175,-3.912816000000028
Ag_Fe_N_din4_x2_c1_a_v2,-630.13,Ag,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Ag_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-3.20700575,-8.6197175,-1.5272767500000413
Au_Fe_N_din4_x2_c1_a_v2,-631.357,Au,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Au_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-3.8767095,-8.6197175,-2.0845730000000167
Cd_Fe_N_din4_x2_c1_a_v2,-628.302,Cd,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cd_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-1.2330587,-8.6197175,-1.6732238000000663
Co_Fe_N_din4_x2_c1_a_v2,-637.649,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Co_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-7.3844395,-8.6197175,-4.868843000000048
Cu_Fe_N_din4_x2_c1_a_v2,-632.704,Cu,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a_v2,1,Cu_N_din4_x2_c1_a_v2,din4_x2,Fe_N_din4_x2_c1_a_v2,N_din4_x2_c1_a,-616.776,N,din4,-4.23458825,-8.6197175,-3.0736942499999973
