system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Ag_Fe_N_din6_s_c0,-610.642,Ag,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ag_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-3.20700575,-8.6197175,1.9817232499999733,#008000
Au_Fe_N_din6_s_c0,-611.174,Au,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Au_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-3.8767095,-8.6197175,2.119427000000048,#ffa500
Cd_Fe_N_din6_s_c0,-608.837,Cd,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Cd_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-1.2330587,-8.6197175,1.8127762000000365,#800080
Co_Fe_N_din4_x2_c2_f,-637.119,Co,Fe,N,din4,N_din4_x2_c2_f,N_din4_x2_c2_f,2,Co_N_din4_x2_c2_f,din4_x2,Fe_N_din4_x2_c2_f,N_din4_x2_c2_f,-613.375,N,din4,-7.3844395,-8.6197175,-7.739843000000029,#0000ff
Co_Fe_N_din6_s_c0,-614.717,Co,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Co_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-7.3844395,-8.6197175,2.084157000000041,#0000ff
Cu_Fe_N_din6_s_c0,-611.853,Cu,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Cu_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-4.23458825,-8.6197175,1.7983057500000736,#800000
Ir_Fe_N_din6_s_c0,-615.682,Ir,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ir_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-9.56008375,-8.6197175,3.2948012500000097,#000080
Ir_Fe_N_din6_s_c1,-615.973,Ir,Fe,N,din6,N_din6_s_c1,N_din6_s_c1,1,Ir_N_din6_s_c1,din6_s,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-9.56008375,-8.6197175,2.0408012499999906,#000080
Ni_Fe_N_din6_s_c0,-613.442,Ni,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ni_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-5.86878875,-8.6197175,1.8435062500000186,#00ffff
Os_Fe_N_din6_s_c0,-617.453,Os,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Os_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-11.839378,-8.6197175,3.803095500000051,#808000
Pd_Fe_N_din4_x2_c2_f,-634.263,Pd,Fe,N,din4,N_din4_x2_c2_f,N_din4_x2_c2_f,2,Pd_N_din4_x2_c2_f,din4_x2,Fe_N_din4_x2_c2_f,N_din4_x2_c2_f,-613.375,N,din4,-5.79450325,-8.6197175,-6.4737792500000335,#008080
Pd_Fe_N_din6_s_c0,-613.123,Pd,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Pd_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-5.79450325,-8.6197175,2.0882207499999783,#008080
Pd_Fe_N_din6_s_c1,-613.275,Pd,Fe,N,din6,N_din6_s_c1,N_din6_s_c1,1,Pd_N_din6_s_c1,din6_s,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-5.79450325,-8.6197175,0.9732207499999692,#008080
Pt_Fe_N_din4_x2_c2_f,-635.758,Pt,Fe,N,din4,N_din4_x2_c2_f,N_din4_x2_c2_f,2,Pt_N_din4_x2_c2_f,din4_x2,Fe_N_din4_x2_c2_f,N_din4_x2_c2_f,-613.375,N,din4,-6.8665185,-8.6197175,-6.896764000000038,#808080
Pt_Fe_N_din6_s_c0,-613.489,Pt,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Pt_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-6.8665185,-8.6197175,2.7942359999999926,#808080
Pt_Fe_N_din6_s_c1,-613.839,Pt,Fe,N,din6,N_din6_s_c1,N_din6_s_c1,1,Pt_N_din6_s_c1,din6_s,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-6.8665185,-8.6197175,1.4812359999998908,#808080
Pt_Fe_N_din6_s_c2_02,-613.609,Pt,Fe,N,din6,N_din6_s_c2_02,N_din6_s_c2_02,2,Pt_N_din6_s_c2_02,din6_s,Fe_N_din6_s_c2_02,N_din6_s_c2_02,-598.852,N,din6,-6.8665185,-8.6197175,0.729235999999938,#808080
Rh_Fe_N_din4_x2_c2_f,-636.775,Rh,Fe,N,din4,N_din4_x2_c2_f,N_din4_x2_c2_f,2,Rh_N_din4_x2_c2_f,din4_x2,Fe_N_din4_x2_c2_f,N_din4_x2_c2_f,-613.375,N,din4,-7.850822,-8.6197175,-6.929460499999976,#00ff00
Rh_Fe_N_din6_s_c0,-614.979,Rh,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Rh_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-7.850822,-8.6197175,2.2885394999999837,#00ff00
Rh_Fe_N_din6_s_c1,-615.24,Rh,Fe,N,din6,N_din6_s_c1,N_din6_s_c1,1,Rh_N_din6_s_c1,din6_s,Fe_N_din6_s_c1,N_din6_s_c1,-599.834,N,din6,-7.850822,-8.6197175,1.0645394999999374,#00ff00
Ru_Fe_N_din4_x2_c0,-638.992,Ru,Fe,N,din4,N_din4_x2_c0,N_din4_x2_c0,0,Ru_N_din4_x2_c0,din4_x2,Fe_N_din4_x2_c0,N_din4_x2_c0,-614.297,N,din4,-9.8124665,-8.6197175,-6.262815999999937,#ff0000
Ru_Fe_N_din4_x2_c1_b,-638.703,Ru,Fe,N,din4,N_din4_x2_c1_b,N_din4_x2_c1_b,1,Ru_N_din4_x2_c1_b,din4_x2,Fe_N_din4_x2_c1_b,N_din4_x2_c1_b,-614.007,N,din4,-9.8124665,-8.6197175,-6.263816000000027,#ff0000
Ru_Fe_N_din6_s_c0,-616.415,Ru,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Ru_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-9.8124665,-8.6197175,2.8141840000000613,#ff0000
Zn_Fe_N_din6_s_c0,-610.201,Zn,Fe,N,din6,N_din6_s_c0,N_din6_s_c0,0,Zn_N_din6_s_c0,din6_s,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-1.61724415,-8.6197175,0.8329616500000041,#ff00ff
