system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,system_x,tot_energy_M1,system_y,tot_energy_M2,Eint,color
Ag_Fe_N_din4_x2_c4_e,-630.03,Ag,Fe,N,din4,N_din4_x2_c4_e,N_din4_x2_c4_e,4,Ag_N_din4_x2_c4_e,din4_x2,Fe_N_din4_x2_c4_e,N_din4_x2_c4_e,-615.582,N,din4,Ag_N_din4_x2_c4_e,-622.681,Fe_N_din4_x2_c4_e,-628.416,5.485000000000014,#008000
Ag_Fe_N_din4_x2_c4_f,-609.724,Ag,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Ag_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Ag_N_din4_x2_c4_f,-618.05,Fe_N_din4_x2_c4_f,-605.17,-3.5800000000002683,#008000
Ag_Fe_N_din4_x2_c5_a,-629.842,Ag,Fe,N,din4,N_din4_x2_c5_a,N_din4_x2_c5_a,5,Ag_N_din4_x2_c5_a,din4_x2,Fe_N_din4_x2_c5_a,N_din4_x2_c5_a,-614.849,N,din4,Ag_N_din4_x2_c5_a,-622.381,Fe_N_din4_x2_c5_a,-628.045,5.7349999999999,#008000
Au_Fe_N_din4_x2_c2_e_v2,-630.574,Au,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Au_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Au_N_din4_x2_c2_e_v2,-615.797,Fe_N_din4_x2_c2_e_v2,-626.111,-5.146000000000072,#ffa500
Au_Fe_N_din4_x2_c3_b_v2,-629.783,Au,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Au_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Au_N_din4_x2_c3_b_v2,-611.002,Fe_N_din4_x2_c3_b_v2,-627.272,-8.100999999999999,#ffa500
Au_Fe_N_din4_x2_c3_c,-631.023,Au,Fe,N,din4,N_din4_x2_c3_c,N_din4_x2_c3_c,3,Au_N_din4_x2_c3_c,din4_x2,Fe_N_din4_x2_c3_c,N_din4_x2_c3_c,-615.869,N,din4,Au_N_din4_x2_c3_c,-603.448,Fe_N_din4_x2_c3_c,-626.644,-16.800000000000068,#ffa500
Cd_Fe_N_din4_x2_c2_a_v2,-627.497,Cd,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a_v2,2,Cd_N_din4_x2_c2_a_v2,din4_x2,Fe_N_din4_x2_c2_a_v2,N_din4_x2_c2_a,-617.773,N,din4,Cd_N_din4_x2_c2_a_v2,-622.143,Fe_N_din4_x2_c2_a_v2,-629.032,5.905000000000086,#800080
Cd_Fe_N_din4_x2_c3_b_v2,-628.045,Cd,Fe,N,din4,N_din4_x2_c3_b,N_din4_x2_c3_b_v2,3,Cd_N_din4_x2_c3_b_v2,din4_x2,Fe_N_din4_x2_c3_b_v2,N_din4_x2_c3_b,-616.592,N,din4,Cd_N_din4_x2_c3_b_v2,-609.536,Fe_N_din4_x2_c3_b_v2,-627.272,-7.828999999999951,#800080
Cd_Fe_N_din4_x2_c4_a,-627.446,Cd,Fe,N,din4,N_din4_x2_c4_a,N_din4_x2_c4_a,4,Cd_N_din4_x2_c4_a,din4_x2,Fe_N_din4_x2_c4_a,N_din4_x2_c4_a,-616.114,N,din4,Cd_N_din4_x2_c4_a,-620.582,Fe_N_din4_x2_c4_a,-628.622,5.6440000000000055,#800080
Cd_Fe_N_din4_x2_c4_a_v2,-627.617,Cd,Fe,N,din4,N_din4_x2_c4_a,N_din4_x2_c4_a_v2,4,Cd_N_din4_x2_c4_a_v2,din4_x2,Fe_N_din4_x2_c4_a_v2,N_din4_x2_c4_a,-616.114,N,din4,Cd_N_din4_x2_c4_a_v2,-614.854,Fe_N_din4_x2_c4_a_v2,-626.836,-2.04099999999994,#800080
