system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,cavity_v2,cavity_3,M1_cavity,cavity_4,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2,Ecoh_m1,system,tot_energy_M2,Edft_fe,color
Au_Fe_C_din6_s_c6,-610.238,Au,Fe,C,din6,C_din6_s_c6,C_din6_s_c6,6,Au_C_din6_s_c6,din6_s,Fe_C_din6_s_c6,C_din6_s_c6,-593.77,C,din6,Au,-3.8767095,196.966569,214,124,121,36.0,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1,-3.8767095,Fe_C_din6_s_c6,-604.104,-2.2572905000000674,#ffa500
Cd_Fe_N_din4_x2_c2_a_v2,-627.497,Cd,Fe,N,din4,N_din4_x2_c2_a,N_din4_x2_c2_a_v2,2,Cd_N_din4_x2_c2_a_v2,din4_x2,Fe_N_din4_x2_c2_a_v2,N_din4_x2_c2_a,-617.773,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c2_a_v2,-629.032,2.768058700000097,#800080
Cd_Fe_N_din4_x2_c4_a,-627.446,Cd,Fe,N,din4,N_din4_x2_c4_a,N_din4_x2_c4_a,4,Cd_N_din4_x2_c4_a,din4_x2,Fe_N_din4_x2_c4_a,N_din4_x2_c4_a,-616.114,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c4_a,-628.622,2.409058699999946,#800080
Cd_Fe_N_din4_x2_c4_e,-627.282,Cd,Fe,N,din4,N_din4_x2_c4_e,N_din4_x2_c4_e,4,Cd_N_din4_x2_c4_e,din4_x2,Fe_N_din4_x2_c4_e,N_din4_x2_c4_e,-615.582,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c4_e,-628.416,2.3670587000000296,#800080
Cd_Fe_N_din4_x2_c4_f,-610.359,Cd,Fe,N,din4,N_din4_x2_c4_f,N_din4_x2_c4_f,4,Cd_N_din4_x2_c4_f,din4_x2,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c4_f,-605.17,-3.955941300000063,#800080
Cd_Fe_N_din4_x2_c5_b_v2,-619.791,Cd,Fe,N,din4,N_din4_x2_c5_b,N_din4_x2_c5_b_v2,5,Cd_N_din4_x2_c5_b_v2,din4_x2,Fe_N_din4_x2_c5_b_v2,N_din4_x2_c5_b,-614.569,N,din4,Cd,-1.2330587,112.414,218,136,144,46.0,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1,-1.2330587,Fe_N_din4_x2_c5_b_v2,-626.155,7.597058699999934,#800080
Co_Fe_N_din4_x2_c1_a,-637.576,Co,Fe,N,din4,N_din4_x2_c1_a,N_din4_x2_c1_a,1,Co_N_din4_x2_c1_a,din4_x2,Fe_N_din4_x2_c1_a,N_din4_x2_c1_a,-616.776,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c1_a,-626.741,-3.4505605000000514,#0000ff
Co_Fe_N_din4_x2_c2_b,-637.336,Co,Fe,N,din4,N_din4_x2_c2_b,N_din4_x2_c2_b,2,Co_N_din4_x2_c2_b,din4_x2,Fe_N_din4_x2_c2_b,N_din4_x2_c2_b,-616.48,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_b,-626.094,-3.857560499999977,#0000ff
Co_Fe_N_din4_x2_c2_c,-632.627,Co,Fe,N,din4,N_din4_x2_c2_c,N_din4_x2_c2_c,2,Co_N_din4_x2_c2_c,din4_x2,Fe_N_din4_x2_c2_c,N_din4_x2_c2_c,-616.943,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_c,-627.765,2.5224395000000186,#0000ff
Co_Fe_N_din4_x2_c2_e_v2,-637.336,Co,Fe,N,din4,N_din4_x2_c2_e,N_din4_x2_c2_e_v2,2,Co_N_din4_x2_c2_e_v2,din4_x2,Fe_N_din4_x2_c2_e_v2,N_din4_x2_c2_e,-616.48,N,din4,Co,-7.3844395,58.933194,200,111,103,55.0,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1,-7.3844395,Fe_N_din4_x2_c2_e_v2,-626.111,-3.840560500000038,#0000ff
