system_dacs,tot_energy_dacs,M1,M2,heteroatom_dacs,basic_cavity_dacs,cavity,M1_cavity,M2_cavity,system_sacs_pristine,tot_energy_sacs_pristine,heteroatom_sacs_pristine,basic_cavity_sacs_pristine,Ecoh_m1,Ecoh_m2,E_dft_M1M2,color
Ag_Fe_N_din4_x2_c4_f,-609.724,Ag,Fe,N,din4,N_din4_x2_c4_f,Ag_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-3.20700575,-8.6197175,19.17872325,"rgb(0, 128, 0)"
Ag_Fe_N_din6_s_c0,-610.642,Ag,Fe,N,din6,N_din6_s_c0,Ag_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-3.20700575,-8.6197175,1.98172324999997,"rgb(0, 128, 0)"
Au_Fe_N_din4_x2_c4_f,-610.729,Au,Fe,N,din4,N_din4_x2_c4_f,Au_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-3.8767095,-8.6197175,18.843427,"rgb(255, 165, 0)"
Au_Fe_N_din6_s_c0,-611.174,Au,Fe,N,din6,N_din6_s_c0,Au_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-3.8767095,-8.6197175,2.11942700000005,"rgb(255, 165, 0)"
Cd_Fe_N_din4_x2_c4_f,-610.359,Cd,Fe,N,din4,N_din4_x2_c4_f,Cd_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-1.2330587,-8.6197175,16.5697762,"rgb(128, 0, 128)"
Cd_Fe_N_din4_x2_c5_b_v2,-619.791,Cd,Fe,N,din4,N_din4_x2_c5_b,Cd_N_din4_x2_c5_b_v2,Fe_N_din4_x2_c5_b_v2,N_din4_x2_c5_b,-614.569,N,din4,-1.2330587,-8.6197175,4.63077619999991,"rgb(128, 0, 128)"
Cd_Fe_N_din6_s_c0,-608.837,Cd,Fe,N,din6,N_din6_s_c0,Cd_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-1.2330587,-8.6197175,1.81277620000004,"rgb(128, 0, 128)"
Co_Fe_N_din4_x2_c4_f,-613.685,Co,Fe,N,din4,N_din4_x2_c4_f,Co_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-7.3844395,-8.6197175,19.3951570000001,"rgb(0, 0, 255)"
Co_Fe_N_din6_s_c0,-614.717,Co,Fe,N,din6,N_din6_s_c0,Co_N_din6_s_c0,Fe_N_din6_s_c0,N_din6_s_c0,-600.797,N,din6,-7.3844395,-8.6197175,2.08415700000004,"rgb(0, 0, 255)"
Cu_Fe_N_din4_x2_c4_f,-611.341,Cu,Fe,N,din4,N_din4_x2_c4_f,Cu_N_din4_x2_c4_f,Fe_N_din4_x2_c4_f,N_din4_x2_c4_f,-617.076,N,din4,-4.23458825,-8.6197175,18.58930575,"rgb(128, 0, 0)"
