Metal,rmse_trains,rmse_tests,rmse_fulls,mae_trains,mae_tests,mae_fulls,rsquared_trains,rsquared_tests,rsquared_fulls
Fe,0.26487986399394875,0.5563464108878543,0.29342807132783716,0.20861607434891927,0.49658332090235313,0.2277914634301643,0.9729475932651782,0.8525130627265745,0.9663823702861503
Ir,0.26647364779663385,0.6483109374889681,0.3103351240839664,0.2073459262223797,0.5003466868822737,0.22856794393372717,0.972259751770131,0.8094176428954335,0.962396728031726
Au,0.2630454096981317,0.6012663501867291,0.3006097164785652,0.20437958530316502,0.5173406956204788,0.2270473292747462,0.9729637162289049,0.7495055746548459,0.9647166511085803
Pd,0.2640541803491138,0.38715586521325546,0.2751695096531806,0.2061680581170742,0.3282475240080142,0.2152954948192006,0.9733581275779531,0.9165003255467168,0.9704359184879656
Cu,0.2678718757710656,0.41580832559422487,0.28016104816195186,0.21058310542531486,0.28442712415231286,0.21550028891531356,0.9713421195342002,0.9442400159152078,0.9693536132285517
Ag,0.2638099669420883,0.5718981196912717,0.2940061999623375,0.20557041960561276,0.47453716979631066,0.22316637522556496,0.9737956750841772,0.6381904072555958,0.9662497690625993
Zn,0.26090754989622633,0.357185767392372,0.26955714494493394,0.20245750366596166,0.28703686616749197,0.20897880965322915,0.97320857419966,0.9544230144111159,0.9716295994926611
Pt,0.2691887672882594,0.5459795983911094,0.29932557083462574,0.21064594008031917,0.4928069809407488,0.23207172005219756,0.9705090271026107,0.8943571573917912,0.965017454314993
Ni,0.2598325677765208,0.6906016513853266,0.3124825420457866,0.2029689866839879,0.6106605343234895,0.23297432254997927,0.9738882289028292,0.7058301974613657,0.9618745227316824
Os,0.2597904901169187,0.46466528831425846,0.2803357369344649,0.20285686132897776,0.3729970702096379,0.2155776246097748,0.9742072781410906,0.8844173675589421,0.9693153834405028
Rh,0.27174710624093723,0.4283998252201117,0.28599055253898714,0.21245419334559015,0.33452790717771685,0.22129598102969275,0.9703945250907144,0.9400849824506942,0.9680649835083912
Co,0.25832178915678206,0.789453537343277,0.3241720282390356,0.20008407843977516,0.7051208948527934,0.2348938590102986,0.972723684696554,0.816535042847807,0.9589687405620041
Ru,0.27226565457019675,0.6218651344144391,0.3104901110645438,0.2125497430996839,0.5522055653470951,0.2367541883766606,0.9710154504527282,0.819639101920878,0.9623591591428794
Cd,0.2553378310656494,0.7368215112244012,0.31235478130158023,0.20159254908396199,0.6114181754177191,0.2293611078776044,0.9752755516112341,0.6039207707541829,0.9619056921119478
