"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.526769597883392,"True"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,0.648468577259781,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-2.42157970724187,"True"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.79181899127534,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.80474522798994,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.72182757005525,"True"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.275511064805968,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.35059680368877,"True"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.4535783841983,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,0.937455515562645,"True"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,-0.238218375493248,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.849583177483677,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-0.781208216486633,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.3040267534212,"True"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.94742803877535,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.386476919342695,"True"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.33901006223496,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.58437209074972,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.838402933191475,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,4.09294876972793,"True"
