"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.494604278603291,"True"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,0.915429737569232,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-2.43867853001775,"True"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.83245676445848,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.82624463077657,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.67616136014278,"True"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.318760336802102,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.57660195933532,"False"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.56487156682368,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,1.92893383428124,"False"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,0.051439875150052,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.791470413056152,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-1.01151754180518,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.28531903995988,"True"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.89088130505672,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.537192642710014,"True"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.64344273175408,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.55862761184218,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.775594034513133,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,3.82363913274514,"True"
"Ag_P_rol2_din2_c3_a","Ag","P","rol2_din2_c3_a","rol2_din2",-3.89499424999998,-3.62053497820157,"True"
"Co_P_rol2_din2_c2_s2","Co","P","rol2_din2_c2_s2","rol2_din2",-2.94056050000005,-2.84328359457188,"True"
"Os_N_rol2_din2_a","Os","N","rol2_din2_a","rol2_din2",-1.64662199999999,-1.88092550881612,"True"
"Pt_N_din4_c2_d2","Pt","N","din4_c2_d2","din4",-2.70848150000005,-2.10954226907999,"True"
"Cu_P_din3_c1","Cu","P","din3_c1","din3",2.27258825000001,1.80315656335092,"True"
"Pd_N_rol2_din2_a","Pd","N","rol2_din2_a","rol2_din2",-3.68749675000008,-3.39075925643408,"True"
"Ru_S_din4_c1","Ru","S","din4_c1","din4",1.02046649999997,0.776871733707784,"True"
"Zn_N_rol2_din2_c2_s2","Zn","N","rol2_din2_c2_s2","rol2_din2",-3.66575585000002,-3.77554820825544,"True"
"Os_S_rol1_din2_c1_a","Os","S","rol1_din2_c1_a","rol1_din2",2.82737799999994,2.95305651277994,"True"
"Ru_P_din4_c3","Ru","P","din4_c3","din4",0.296466500000037,-0.24033699118327,"True"
"Rh_N_din4_c2_d1","Rh","N","din4_c2_d1","din4",-1.93417799999997,-1.61090708017864,"True"
"Cd_S_rol2_din2_c2_s1","Cd","S","rol2_din2_c2_s1","rol2_din2",-0.743941299999976,-0.647356065310183,"False"
"Co_N_din4_c2_s2","Co","N","din4_c2_s2","din4",-2.97856050000006,-2.399638192088,"True"
"Pd_N_din4","Pd","N","din4","din4",-1.66949674999994,-1.8300708046412,"True"
"Fe_N_rol2_din2_c2_d1","Fe","N","rol2_din2_c2_d1","rol2_din2",-3.54128250000006,-3.75404258725367,"True"
"Pt_P_din3","Pt","P","din3","din3",1.69051850000007,1.59950531763473,"True"
"Fe_P_din4_c2_s2","Fe","P","din4_c2_s2","din4",0.979717500000014,0.736643485834424,"True"
"Zn_N_din4_c2_d2","Zn","N","din4_c2_d2","din4",-2.49275585000001,-2.18219969901588,"True"
"Co_P_rol3_c2","Co","P","rol3_c2","rol3",-0.016560499999954,0.366071391115304,"True"
"Zn_P_din4_c2_d1","Zn","P","din4_c2_d1","din4",1.18124414999996,1.04838996509907,"True"
"Fe_P_rol3_c1","Fe","P","rol3_c1","rol3",0.426717500000017,0.825355739194145,"True"
"Ir_P_rol3","Ir","P","rol3","rol3",1.46008374999998,1.13113474421234,"True"
"Ni_S_rol1_din2","Ni","S","rol1_din2","rol1_din2",1.26578875000005,1.55590207044166,"True"
"Os_P_rol1_din2_c1_b","Os","P","rol1_din2_c1_b","rol1_din2",3.16937800000004,2.71213281402476,"True"
"Cu_P_din4_c2_d2","Cu","P","din4_c2_d2","din4",1.34258825000006,1.1366250686094,"True"
"Pt_S_rol2_din2_c2_s1","Pt","S","rol2_din2_c2_s1","rol2_din2",-2.54248149999999,-1.81949635900544,"True"
"Os_N_din4_c1","Os","N","din4_c1","din4",0.310378000000004,-0.174516951314623,"True"
"Ru_S_rol2_din2_c2_d1","Ru","S","rol2_din2_c2_d1","rol2_din2",-0.583533499999959,-0.977877303197759,"True"
"Ir_S_rol1_din2_c2_s1","Ir","S","rol1_din2_c2_s1","rol1_din2",1.66008375000002,2.10946118411525,"True"
"Ni_N_din3","Ni","N","din3","din3",0.614788749999981,0.53177863843586,"True"
"Cu_N_rol2_din2_c2_s3","Cu","N","rol2_din2_c2_s3","rol2_din2",-0.281411749999963,-1.29407279412696,"True"
"Rh_N_din4","Rh","N","din4","din4",-1.11817799999994,-1.05125604164582,"True"
"Pd_P_rol2_din2_c3_a","Pd","P","rol2_din2_c3_a","rol2_din2",-4.62849675,-4.31044733047988,"True"
"Au_P_din4_c3","Au","P","din4_c3","din4",-0.365290500000075,-0.437577902838472,"True"
"Rh_S_rol2_din2_c2_s2","Rh","S","rol2_din2_c2_s2","rol2_din2",-1.80917799999997,-1.41923168188275,"True"
"Ni_N_rol1_din2","Ni","N","rol1_din2","rol1_din2",1.29478874999993,0.861334122976534,"True"
"Fe_S_rol1_din2_c1_a","Fe","S","rol1_din2_c1_a","rol1_din2",0.909717499999964,1.24703180374056,"True"
"Ni_P_din4_c2_s1","Ni","P","din4_c2_s1","din4",-1.26621124999999,-0.503971798452564,"True"
"Pt_N_din4_c1","Pt","N","din4_c1","din4",-2.35648150000007,-1.98680228521806,"True"
"Ni_S_din4","Ni","S","din4","din4",1.57778874999995,1.72448986599083,"True"
"Ni_P_rol2_din2_c2_d1","Ni","P","rol2_din2_c2_d1","rol2_din2",-2.68821125000002,-2.32557550843487,"True"
"Os_C_din3_c3","Os","C","din3_c3","din3",-0.679622000000006,-0.807447663989757,"True"
"Pd_P_rol2_din2_c2_d1","Pd","P","rol2_din2_c2_d1","rol2_din2",-2.08149674999998,-2.18886623194675,"True"
"Au_S_rol2_din2_b","Au","S","rol2_din2_b","rol2_din2",0.969709499999961,0.374928504269168,"True"
"Pd_N_din3_c2","Pd","N","din3_c2","din3",0.703503249999992,0.596652582723389,"True"
"Pt_P_rol2_din2_c2_s2","Pt","P","rol2_din2_c2_s2","rol2_din2",-3.36848150000001,-2.88123204114165,"True"
"Fe_P_rol3_c2","Fe","P","rol3_c2","rol3",0.069717500000046,0.416802955313761,"True"
"Ag_P_din4_c1","Ag","P","din4_c1","din4",2.27300575000003,1.79607040792279,"True"
"Fe_S_din4","Fe","S","din4","din4",2.24771750000004,2.10249103867109,"True"
"Pt_S_din3_c1","Pt","S","din3_c1","din3",2.33451849999996,2.10636227764428,"True"
"Co_N_rol1_din2_c1_a","Co","N","rol1_din2_c1_a","rol1_din2",-0.350560500000014,-0.095262250910409,"True"
"Fe_S_rol2_din2_c2_s3","Fe","S","rol2_din2_c2_s3","rol2_din2",-2.61028250000002,-2.33288751148294,"True"
"Ni_S_din3_c1","Ni","S","din3_c1","din3",0.509788749999963,1.21006083990001,"True"
"Os_S_rol1_din2_c1_b","Os","S","rol1_din2_c1_b","rol1_din2",3.89137800000002,3.52273975854217,"True"
"Zn_P_din4","Zn","P","din4","din4",2.02224414999997,0.957840562419468,"True"
"Ni_P_rol3_c2","Ni","P","rol3_c2","rol3",0.231788750000057,0.421761796508813,"True"
"Ru_C_rol3_c3","Ru","C","rol3_c3","rol3",-3.71353350000007,-3.37699059721445,"True"
"Pt_C_din3_c3","Pt","C","din3_c3","din3",-1.12748150000003,-1.32995610609178,"True"
"Fe_S_rol2_din2_a","Fe","S","rol2_din2_a","rol2_din2",-0.094282499999942,-0.167044691268213,"True"
"Ag_P_rol2_din2_c2_s1","Ag","P","rol2_din2_c2_s1","rol2_din2",-2.10099424999999,-2.02338462838191,"True"
"Pt_C_rol3_c3","Pt","C","rol3_c3","rol3",-3.44648149999999,-3.37410431242036,"True"
"Pd_N_rol1_din2_c2_s2","Pd","N","rol1_din2_c2_s2","rol1_din2",0.703503249999992,0.56929879743581,"True"
"Pd_N_rol1_din2_c1_b","Pd","N","rol1_din2_c1_b","rol1_din2",1.37450324999993,1.20499997353733,"True"
"Ru_P_din3","Ru","P","din3","din3",1.95046650000003,1.59456522533368,"True"
"Os_N_din4_c2_d2","Os","N","din4_c2_d2","din4",-0.74462200000006,-0.568572151456197,"True"
"Cd_S_rol2_din2_c2_s3","Cd","S","rol2_din2_c2_s3","rol2_din2",-1.02494130000004,-1.58086378937172,"False"
"Ag_S_rol2_din2_c2_d1","Ag","S","rol2_din2_c2_d1","rol2_din2",-0.003994250000013,-0.423016841003011,"True"
"Cd_N_rol1_din2_c2_s1","Cd","N","rol1_din2_c2_s1","rol1_din2",0.778058700000073,1.04799708887983,"False"
"Pd_N_rol1_din2_c2_s1","Pd","N","rol1_din2_c2_s1","rol1_din2",0.700503250000063,0.587350482380046,"True"
"Ru_P_din4_c2_d2","Ru","P","din4_c2_d2","din4",0.907466500000027,1.10722227005375,"True"
"Cd_N_rol1_din2_c1_b","Cd","N","rol1_din2_c1_b","rol1_din2",0.817058699999946,1.47890027946361,"False"
"Pt_S_rol2_din2_a","Pt","S","rol2_din2_a","rol2_din2",-0.526481500000029,-0.207493392222604,"True"
"Pd_N_rol2_din2_c2_s3","Pd","N","rol2_din2_c2_s3","rol2_din2",-0.834496749999905,-1.4450464589373,"True"
"Zn_S_din3_c1","Zn","S","din3_c1","din3",1.23824414999998,1.29377448098016,"True"
"Zn_C_rol3_c3","Zn","C","rol3_c3","rol3",-3.09075584999997,-2.87858229356676,"True"
"Ag_N_rol1_din2_c2_s1","Ag","N","rol1_din2_c2_s1","rol1_din2",1.56700575000001,1.43853351212631,"True"
"Rh_P_din3","Rh","P","din3","din3",1.62882200000002,1.31092006995254,"True"
"Fe_S_rol1_din2_c2_s1","Fe","S","rol1_din2_c2_s1","rol1_din2",1.52271750000002,1.67315319805735,"True"
"Fe_S_rol1_din2","Fe","S","rol1_din2","rol1_din2",1.65371749999999,1.57837717767904,"True"
