"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.519839960008508,"True"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,1.04337631830403,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-2.49451261365784,"True"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.85203630652581,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.86105422257166,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.6682555279229,"True"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.207644653516486,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.40293007391906,"True"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.54705325591947,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,1.05799030650047,"True"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,-0.201976433218174,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.772166147416953,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-0.890173297292714,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.32934094891056,"True"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.80599941138507,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.880839614579049,"False"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.42376772721355,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.61166570880868,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.81604155147185,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,3.57249898367147,"True"
"Ag_P_rol2_din2_c3_a","Ag","P","rol2_din2_c3_a","rol2_din2",-3.89499424999998,-3.58868889708355,"True"
"Co_P_rol2_din2_c2_s2","Co","P","rol2_din2_c2_s2","rol2_din2",-2.94056050000005,-2.80156214494619,"True"
"Os_N_rol2_din2_a","Os","N","rol2_din2_a","rol2_din2",-1.64662199999999,-1.87641472949811,"True"
"Pt_N_din4_c2_d2","Pt","N","din4_c2_d2","din4",-2.70848150000005,-2.33692488984421,"True"
"Cu_P_din3_c1","Cu","P","din3_c1","din3",2.27258825000001,1.77612745680341,"True"
"Pd_N_rol2_din2_a","Pd","N","rol2_din2_a","rol2_din2",-3.68749675000008,-3.36329326395148,"True"
"Ru_S_din4_c1","Ru","S","din4_c1","din4",1.02046649999997,0.741309348182483,"True"
"Zn_N_rol2_din2_c2_s2","Zn","N","rol2_din2_c2_s2","rol2_din2",-3.66575585000002,-3.76042412695957,"True"
"Os_S_rol1_din2_c1_a","Os","S","rol1_din2_c1_a","rol1_din2",2.82737799999994,2.9304537757866,"True"
"Ru_P_din4_c3","Ru","P","din4_c3","din4",0.296466500000037,-0.310356713603624,"True"
"Rh_N_din4_c2_d1","Rh","N","din4_c2_d1","din4",-1.93417799999997,-1.57914940399538,"True"
"Cd_S_rol2_din2_c2_s1","Cd","S","rol2_din2_c2_s1","rol2_din2",-0.743941299999976,-0.566784140523632,"True"
"Co_N_din4_c2_s2","Co","N","din4_c2_s2","din4",-2.97856050000006,-2.48225916954618,"True"
"Pd_N_din4","Pd","N","din4","din4",-1.66949674999994,-1.81182854635398,"True"
"Fe_N_rol2_din2_c2_d1","Fe","N","rol2_din2_c2_d1","rol2_din2",-3.54128250000006,-3.73918156195688,"True"
"Pt_P_din3","Pt","P","din3","din3",1.69051850000007,1.410125571076,"True"
