"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.438438990630077,"True"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,1.01141204898966,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-2.4595596324368,"True"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.8963288318967,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.73915166288021,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.72971164983232,"False"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.327690850226272,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.50620309288457,"True"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.53980284925005,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,1.00616763462053,"True"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,-0.068136368181778,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.739702369435075,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-0.847514348312842,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.25180866209651,"True"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.76696659387714,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.525336691317671,"True"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.40483616506063,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.64871844130932,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.976073045572486,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,3.99912956614321,"True"
"Ag_P_rol2_din2_c3_a","Ag","P","rol2_din2_c3_a","rol2_din2",-3.89499424999998,-3.65555686570387,"True"
"Co_P_rol2_din2_c2_s2","Co","P","rol2_din2_c2_s2","rol2_din2",-2.94056050000005,-2.73901916720821,"True"
"Os_N_rol2_din2_a","Os","N","rol2_din2_a","rol2_din2",-1.64662199999999,-1.95701138701724,"True"
"Pt_N_din4_c2_d2","Pt","N","din4_c2_d2","din4",-2.70848150000005,-2.10558597798039,"True"
"Cu_P_din3_c1","Cu","P","din3_c1","din3",2.27258825000001,1.83937444446657,"True"
"Pd_N_rol2_din2_a","Pd","N","rol2_din2_a","rol2_din2",-3.68749675000008,-3.24344388783383,"False"
"Ru_S_din4_c1","Ru","S","din4_c1","din4",1.02046649999997,0.794731792909942,"True"
"Zn_N_rol2_din2_c2_s2","Zn","N","rol2_din2_c2_s2","rol2_din2",-3.66575585000002,-3.73093224005977,"True"
"Os_S_rol1_din2_c1_a","Os","S","rol1_din2_c1_a","rol1_din2",2.82737799999994,2.80288689171438,"True"
"Ru_P_din4_c3","Ru","P","din4_c3","din4",0.296466500000037,-0.188767798737641,"True"
"Rh_N_din4_c2_d1","Rh","N","din4_c2_d1","din4",-1.93417799999997,-1.54228163967886,"True"
"Cd_S_rol2_din2_c2_s1","Cd","S","rol2_din2_c2_s1","rol2_din2",-0.743941299999976,-0.60018523546555,"True"
"Co_N_din4_c2_s2","Co","N","din4_c2_s2","din4",-2.97856050000006,-2.39219665836557,"True"
"Pd_N_din4","Pd","N","din4","din4",-1.66949674999994,-1.89012886899008,"False"
"Fe_N_rol2_din2_c2_d1","Fe","N","rol2_din2_c2_d1","rol2_din2",-3.54128250000006,-3.66712565991183,"True"
"Pt_P_din3","Pt","P","din3","din3",1.69051850000007,1.56368834451009,"True"
"Fe_P_din4_c2_s2","Fe","P","din4_c2_s2","din4",0.979717500000014,0.743358672520162,"True"
"Zn_N_din4_c2_d2","Zn","N","din4_c2_d2","din4",-2.49275585000001,-2.136146693093,"True"
"Co_P_rol3_c2","Co","P","rol3_c2","rol3",-0.016560499999954,0.335804630619875,"True"
"Zn_P_din4_c2_d1","Zn","P","din4_c2_d1","din4",1.18124414999996,1.03247678895651,"True"
"Fe_P_rol3_c1","Fe","P","rol3_c1","rol3",0.426717500000017,0.780838561437454,"True"
"Ir_P_rol3","Ir","P","rol3","rol3",1.46008374999998,1.23818072830725,"True"
"Ni_S_rol1_din2","Ni","S","rol1_din2","rol1_din2",1.26578875000005,1.50599213495673,"True"
"Os_P_rol1_din2_c1_b","Os","P","rol1_din2_c1_b","rol1_din2",3.16937800000004,2.53034610652316,"True"
"Cu_P_din4_c2_d2","Cu","P","din4_c2_d2","din4",1.34258825000006,1.13636679507536,"True"
"Pt_S_rol2_din2_c2_s1","Pt","S","rol2_din2_c2_s1","rol2_din2",-2.54248149999999,-1.81033531110355,"True"
"Os_N_din4_c1","Os","N","din4_c1","din4",0.310378000000004,-0.229949823743789,"True"
"Ru_S_rol2_din2_c2_d1","Ru","S","rol2_din2_c2_d1","rol2_din2",-0.583533499999959,-0.989000120882252,"True"
"Ir_S_rol1_din2_c2_s1","Ir","S","rol1_din2_c2_s1","rol1_din2",1.66008375000002,2.10687993835046,"True"
"Ni_N_din3","Ni","N","din3","din3",0.614788749999981,0.446285617645592,"True"
"Cu_N_rol2_din2_c2_s3","Cu","N","rol2_din2_c2_s3","rol2_din2",-0.281411749999963,-1.32669884207578,"True"
"Rh_N_din4","Rh","N","din4","din4",-1.11817799999994,-0.954521267531101,"True"
"Pd_P_rol2_din2_c3_a","Pd","P","rol2_din2_c3_a","rol2_din2",-4.62849675,-4.38752095993241,"False"
"Au_P_din4_c3","Au","P","din4_c3","din4",-0.365290500000075,-0.265487642953189,"True"
"Rh_S_rol2_din2_c2_s2","Rh","S","rol2_din2_c2_s2","rol2_din2",-1.80917799999997,-1.39392269300782,"True"
"Ni_N_rol1_din2","Ni","N","rol1_din2","rol1_din2",1.29478874999993,0.658913645933749,"True"
"Fe_S_rol1_din2_c1_a","Fe","S","rol1_din2_c1_a","rol1_din2",0.909717499999964,1.1833614947098,"True"
"Ni_P_din4_c2_s1","Ni","P","din4_c2_s1","din4",-1.26621124999999,-0.619468728858075,"True"
"Pt_N_din4_c1","Pt","N","din4_c1","din4",-2.35648150000007,-1.92313673674808,"True"
"Ni_S_din4","Ni","S","din4","din4",1.57778874999995,1.82410908894703,"True"
"Ni_P_rol2_din2_c2_d1","Ni","P","rol2_din2_c2_d1","rol2_din2",-2.68821125000002,-2.26918243035652,"True"
"Os_C_din3_c3","Os","C","din3_c3","din3",-0.679622000000006,-0.683829775081628,"True"
"Pd_P_rol2_din2_c2_d1","Pd","P","rol2_din2_c2_d1","rol2_din2",-2.08149674999998,-2.10155589069164,"False"
"Au_S_rol2_din2_b","Au","S","rol2_din2_b","rol2_din2",0.969709499999961,0.418063204525806,"True"
"Pd_N_din3_c2","Pd","N","din3_c2","din3",0.703503249999992,-0.073838020683619,"False"
"Pt_P_rol2_din2_c2_s2","Pt","P","rol2_din2_c2_s2","rol2_din2",-3.36848150000001,-2.80491028356352,"True"
"Fe_P_rol3_c2","Fe","P","rol3_c2","rol3",0.069717500000046,0.419585473018579,"True"
"Ag_P_din4_c1","Ag","P","din4_c1","din4",2.27300575000003,1.75424967197638,"True"
"Fe_S_din4","Fe","S","din4","din4",2.24771750000004,2.09365872295737,"True"
"Pt_S_din3_c1","Pt","S","din3_c1","din3",2.33451849999996,2.04065190215955,"True"
"Co_N_rol1_din2_c1_a","Co","N","rol1_din2_c1_a","rol1_din2",-0.350560500000014,-0.121168710524793,"True"
"Fe_S_rol2_din2_c2_s3","Fe","S","rol2_din2_c2_s3","rol2_din2",-2.61028250000002,-2.31471431471759,"True"
"Ni_S_din3_c1","Ni","S","din3_c1","din3",0.509788749999963,1.12316547706846,"True"
"Os_S_rol1_din2_c1_b","Os","S","rol1_din2_c1_b","rol1_din2",3.89137800000002,3.29325689049298,"True"
"Zn_P_din4","Zn","P","din4","din4",2.02224414999997,1.02724820634122,"True"
"Ni_P_rol3_c2","Ni","P","rol3_c2","rol3",0.231788750000057,0.378720586224441,"True"
"Ru_C_rol3_c3","Ru","C","rol3_c3","rol3",-3.71353350000007,-3.47729192537453,"True"
"Pt_C_din3_c3","Pt","C","din3_c3","din3",-1.12748150000003,-1.25743319052951,"True"
"Fe_S_rol2_din2_a","Fe","S","rol2_din2_a","rol2_din2",-0.094282499999942,-0.22295624117804,"True"
"Ag_P_rol2_din2_c2_s1","Ag","P","rol2_din2_c2_s1","rol2_din2",-2.10099424999999,-1.85470581748213,"True"
"Pt_C_rol3_c3","Pt","C","rol3_c3","rol3",-3.44648149999999,-3.41601153724242,"True"
"Pd_N_rol1_din2_c2_s2","Pd","N","rol1_din2_c2_s2","rol1_din2",0.703503249999992,-0.058214476135983,"False"
"Pd_N_rol1_din2_c1_b","Pd","N","rol1_din2_c1_b","rol1_din2",1.37450324999993,0.924558153871442,"False"
"Ru_P_din3","Ru","P","din3","din3",1.95046650000003,1.56526338057842,"True"
"Os_N_din4_c2_d2","Os","N","din4_c2_d2","din4",-0.74462200000006,-0.619263832456738,"True"
"Cd_S_rol2_din2_c2_s3","Cd","S","rol2_din2_c2_s3","rol2_din2",-1.02494130000004,-1.26975627101493,"True"
"Ag_S_rol2_din2_c2_d1","Ag","S","rol2_din2_c2_d1","rol2_din2",-0.003994250000013,-0.538251722714551,"True"
"Cd_N_rol1_din2_c2_s1","Cd","N","rol1_din2_c2_s1","rol1_din2",0.778058700000073,0.903003681588549,"True"
"Pd_N_rol1_din2_c2_s1","Pd","N","rol1_din2_c2_s1","rol1_din2",0.700503250000063,-0.064109853645554,"False"
"Ru_P_din4_c2_d2","Ru","P","din4_c2_d2","din4",0.907466500000027,1.12721455346104,"True"
"Cd_N_rol1_din2_c1_b","Cd","N","rol1_din2_c1_b","rol1_din2",0.817058699999946,0.997576359776361,"True"
"Pt_S_rol2_din2_a","Pt","S","rol2_din2_a","rol2_din2",-0.526481500000029,-0.119852035844854,"True"
"Pd_N_rol2_din2_c2_s3","Pd","N","rol2_din2_c2_s3","rol2_din2",-0.834496749999905,-1.62221473323886,"False"
"Zn_S_din3_c1","Zn","S","din3_c1","din3",1.23824414999998,1.18884724206692,"True"
"Zn_C_rol3_c3","Zn","C","rol3_c3","rol3",-3.09075584999997,-2.9859867525693,"True"
"Ag_N_rol1_din2_c2_s1","Ag","N","rol1_din2_c2_s1","rol1_din2",1.56700575000001,1.3381582647118,"True"
"Rh_P_din3","Rh","P","din3","din3",1.62882200000002,1.31474131559785,"True"
"Fe_S_rol1_din2_c2_s1","Fe","S","rol1_din2_c2_s1","rol1_din2",1.52271750000002,1.80151126469791,"True"
"Fe_S_rol1_din2","Fe","S","rol1_din2","rol1_din2",1.65371749999999,1.56898647121891,"True"
"Ir_S_rol3_c2","Ir","S","rol3_c2","rol3",-0.722916250000015,-0.606286136724344,"True"
"Au_N_rol2_din2_c2_s2","Au","N","rol2_din2_c2_s2","rol2_din2",-4.29529049999991,-3.98214782271035,"True"
"Cu_S_rol2_din2","Cu","S","rol2_din2","rol2_din2",2.01858824999999,2.13471394678264,"True"
"Ag_N_rol3","Ag","N","rol3","rol3",-0.018994249999999,-0.073351645472195,"True"
"Co_S_rol2_din2_c2_s1","Co","S","rol2_din2_c2_s1","rol2_din2",-2.04656050000004,-1.90503250724358,"True"
"Zn_P_rol2_din2_c2_d1","Zn","P","rol2_din2_c2_d1","rol2_din2",-1.81675584999997,-1.93590938619323,"True"
"Au_S_rol2_din2_c2_s1","Au","S","rol2_din2_c2_s1","rol2_din2",-0.765290500000053,-1.04930980530971,"True"
"Rh_P_din4_c2_d2","Rh","P","din4_c2_d2","din4",1.33182199999999,1.0292063041529,"True"
"Zn_N_rol2_din2_c2_s1","Zn","N","rol2_din2_c2_s1","rol2_din2",-3.9987558500001,-3.81532298604414,"True"
"Zn_P_din3","Zn","P","din3","din3",1.13724414999998,1.23252499654928,"True"
"Zn_S_rol2_din2_c2_s3","Zn","S","rol2_din2_c2_s3","rol2_din2",-2.20275585000005,-2.12179558112878,"True"
"Fe_N_din4_c2_s2","Fe","N","din4_c2_s2","din4",-2.85328249999996,-2.32382468452926,"True"
"Os_N_rol1_din2_c2_s1","Os","N","rol1_din2_c2_s1","rol1_din2",1.37637800000003,1.19921062389599,"True"
"Co_N_din4_c3","Co","N","din4_c3","din4",-2.10756049999996,-2.26872510728116,"True"
"Fe_P_rol2_din2_a","Fe","P","rol2_din2_a","rol2_din2",-1.65528249999998,-1.69150995120693,"True"
"Au_S_din3","Au","S","din3","din3",2.24870949999996,2.19426598899518,"True"
"Cd_P_din4","Cd","P","din4","din4",2.71205869999993,1.61191231289956,"True"
"Ir_C_din3_c3","Ir","C","din3_c3","din3",-1.33791625000002,-1.25642573936553,"True"
"Rh_S_rol2_din2","Rh","S","rol2_din2","rol2_din2",1.78482199999997,2.17082549134784,"True"
"Co_S_din4_c2_s2","Co","S","din4_c2_s2","din4",-0.200560500000036,-0.042310885085815,"True"
"Cd_S_rol1_din2_c1_b","Cd","S","rol1_din2_c1_b","rol1_din2",0.821058700000079,1.05250721647288,"True"
