"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.216699111767655,"False"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,0.842854236654409,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-2.40169720244606,"True"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.80149661864977,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.80222537822907,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.78236075987809,"True"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.303253256496781,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.53158557225069,"True"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.57603548629527,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,1.05488164453152,"True"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,-0.000155892911641,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.595445748402696,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-0.857203108253965,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.16584642931757,"False"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.893689701822,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.559436127973012,"True"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.52414365747433,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.57639584544566,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.955001263241241,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,3.71386792453354,"True"
"Ag_P_rol2_din2_c3_a","Ag","P","rol2_din2_c3_a","rol2_din2",-3.89499424999998,-3.46573026701096,"True"
"Co_P_rol2_din2_c2_s2","Co","P","rol2_din2_c2_s2","rol2_din2",-2.94056050000005,-2.79022255162479,"True"
"Os_N_rol2_din2_a","Os","N","rol2_din2_a","rol2_din2",-1.64662199999999,-1.8331610144388,"True"
"Pt_N_din4_c2_d2","Pt","N","din4_c2_d2","din4",-2.70848150000005,-2.16727665898345,"True"
"Cu_P_din3_c1","Cu","P","din3_c1","din3",2.27258825000001,1.80561724505259,"True"
"Pd_N_rol2_din2_a","Pd","N","rol2_din2_a","rol2_din2",-3.68749675000008,-3.4697798301413,"True"
"Ru_S_din4_c1","Ru","S","din4_c1","din4",1.02046649999997,1.06763486772037,"True"
"Zn_N_rol2_din2_c2_s2","Zn","N","rol2_din2_c2_s2","rol2_din2",-3.66575585000002,-3.72815042041965,"True"
"Os_S_rol1_din2_c1_a","Os","S","rol1_din2_c1_a","rol1_din2",2.82737799999994,2.92773015055333,"True"
"Ru_P_din4_c3","Ru","P","din4_c3","din4",0.296466500000037,-0.103756992080941,"True"
"Rh_N_din4_c2_d1","Rh","N","din4_c2_d1","din4",-1.93417799999997,-1.32939019828067,"False"
"Cd_S_rol2_din2_c2_s1","Cd","S","rol2_din2_c2_s1","rol2_din2",-0.743941299999976,-0.505280389070598,"True"
"Co_N_din4_c2_s2","Co","N","din4_c2_s2","din4",-2.97856050000006,-2.41268808969855,"True"
"Pd_N_din4","Pd","N","din4","din4",-1.66949674999994,-1.85873898333412,"True"
"Fe_N_rol2_din2_c2_d1","Fe","N","rol2_din2_c2_d1","rol2_din2",-3.54128250000006,-3.74030585668244,"True"
"Pt_P_din3","Pt","P","din3","din3",1.69051850000007,1.5641847558264,"True"
"Fe_P_din4_c2_s2","Fe","P","din4_c2_s2","din4",0.979717500000014,0.759697493671475,"True"
"Zn_N_din4_c2_d2","Zn","N","din4_c2_d2","din4",-2.49275585000001,-2.21218042217631,"True"
"Co_P_rol3_c2","Co","P","rol3_c2","rol3",-0.016560499999954,0.292992838547248,"True"
"Zn_P_din4_c2_d1","Zn","P","din4_c2_d1","din4",1.18124414999996,1.04803040838243,"True"
"Fe_P_rol3_c1","Fe","P","rol3_c1","rol3",0.426717500000017,0.818756755957484,"True"
"Ir_P_rol3","Ir","P","rol3","rol3",1.46008374999998,1.15042354892977,"True"
"Ni_S_rol1_din2","Ni","S","rol1_din2","rol1_din2",1.26578875000005,1.4774992044485,"True"
"Os_P_rol1_din2_c1_b","Os","P","rol1_din2_c1_b","rol1_din2",3.16937800000004,2.72185946642884,"True"
"Cu_P_din4_c2_d2","Cu","P","din4_c2_d2","din4",1.34258825000006,1.06729363023833,"True"
"Pt_S_rol2_din2_c2_s1","Pt","S","rol2_din2_c2_s1","rol2_din2",-2.54248149999999,-1.84352829429729,"True"
