"System","Metal","Hetatom","Cavity","Base_Cavity","y","Pred_00000","Train_00000"
"Rh_P_din4_c3","Rh","P","din4_c3","din4",-0.341178000000007,-0.419165330458193,"True"
"Cu_P_din4","Cu","P","din4","din4",0.753588250000005,0.881082358468573,"True"
"Zn_N_rol3","Zn","N","rol3","rol3",-3.49875584999999,-1.37038906530222,"False"
"Os_N_rol2_din2_b","Os","N","rol2_din2_b","rol2_din2",-1.57062199999997,-1.87286666493341,"True"
"Co_S_din3_c2","Co","S","din3_c2","din3",1.51843950000001,1.88528035357078,"True"
"Pd_P_rol1_din2_c1_a","Pd","P","rol1_din2_c1_a","rol1_din2",1.96750325,1.78049392178806,"True"
"Os_S_rol2_din2_c2_s2","Os","S","rol2_din2_c2_s2","rol2_din2",-0.588621999999997,-0.261518402991174,"True"
"Cd_P_rol2_din2_c3_b","Cd","P","rol2_din2_c3_b","rol2_din2",-2.52994130000003,-2.45888380614483,"True"
"Fe_S_rol2_din2_c3_b","Fe","S","rol2_din2_c3_b","rol2_din2",-3.2452824999999,-3.61545395596259,"True"
"Cd_P_din3_c1","Cd","P","din3_c1","din3",0.633058699999977,1.13488025512941,"True"
"Ag_N_din4","Ag","N","din4","din4",0.717005750000105,-0.131298269695786,"True"
"Ru_N_rol2_din2_c2_s3","Ru","N","rol2_din2_c2_s3","rol2_din2",-0.358533499999936,-0.794037542503989,"True"
"Ag_N_din4_c3","Ag","N","din4_c3","din4",-1.20499424999992,-0.802582421325641,"True"
"Rh_C_rol2_din2_c4","Rh","C","rol2_din2_c4","rol2_din2",-4.255178,-4.30139168861578,"True"
"Cu_N_din4","Cu","N","din4","din4",-1.33141174999992,-1.65894797063288,"True"
"Ir_S_din4_c3","Ir","S","din4_c3","din4",-0.386916250000002,-0.688138696463833,"True"
"Ag_N_din3","Ag","N","din3","din3",1.14700575000005,1.51993642304241,"True"
"Fe_C_rol3_c3","Fe","C","rol3_c3","rol3",-4.06128250000004,-3.58281467234957,"True"
"Pt_P_rol3_c2","Pt","P","rol3_c2","rol3",0.3665185,0.869798400390489,"True"
"Ru_S_rol3","Ru","S","rol3","rol3",4.74546649999999,3.76052722421167,"True"
"Ag_P_rol2_din2_c3_a","Ag","P","rol2_din2_c3_a","rol2_din2",-3.89499424999998,-3.57481258124164,"True"
"Co_P_rol2_din2_c2_s2","Co","P","rol2_din2_c2_s2","rol2_din2",-2.94056050000005,-2.84391043127194,"True"
"Os_N_rol2_din2_a","Os","N","rol2_din2_a","rol2_din2",-1.64662199999999,-1.88518192735691,"True"
"Pt_N_din4_c2_d2","Pt","N","din4_c2_d2","din4",-2.70848150000005,-2.11028075308028,"True"
"Cu_P_din3_c1","Cu","P","din3_c1","din3",2.27258825000001,1.81221098773547,"True"
"Pd_N_rol2_din2_a","Pd","N","rol2_din2_a","rol2_din2",-3.68749675000008,-3.35875267109018,"True"
"Ru_S_din4_c1","Ru","S","din4_c1","din4",1.02046649999997,0.824823810198836,"True"
"Zn_N_rol2_din2_c2_s2","Zn","N","rol2_din2_c2_s2","rol2_din2",-3.66575585000002,-3.65213159306739,"False"
"Os_S_rol1_din2_c1_a","Os","S","rol1_din2_c1_a","rol1_din2",2.82737799999994,2.85494169262103,"True"
"Ru_P_din4_c3","Ru","P","din4_c3","din4",0.296466500000037,-0.297024246369542,"True"
"Rh_N_din4_c2_d1","Rh","N","din4_c2_d1","din4",-1.93417799999997,-1.60917121243757,"True"
"Cd_S_rol2_din2_c2_s1","Cd","S","rol2_din2_c2_s1","rol2_din2",-0.743941299999976,-0.567097284750997,"True"
