,"rmse_trains","rmse_tests","rmse_fulls","mae_trains","mae_tests","mae_fulls","rsquared_trains","rsquared_tests","rsquared_fulls"
"Rh",0.395396820113866,0.689532808840531,0.423123928957618,0.302303241030225,0.576095773439713,0.321775042988229,0.966134240303495,0.865880262431532,0.960657477243674
"Cu",0.390815433192932,0.656124011625245,0.41503000616093,0.301397190902673,0.585018847987544,0.32132204278808,0.966844823536265,0.882892003806064,0.962148244609874
"Zn",0.387360161283344,0.816938121110403,0.432769217301816,0.301022238207875,0.698937214566471,0.329666594702032,0.965745280092118,0.898909445308652,0.958843374854515
"Os",0.414141101959086,0.417668115374422,0.414389860390088,0.322398968949983,0.341655514321665,0.323751770489537,0.962767905305102,0.946429289048038,0.962264920291151
"Co",0.399481457046483,0.46881546993949,0.405062737417572,0.308429387737557,0.364975951333198,0.312647084588576,0.964864784215578,0.952407466345646,0.963944492076138
"Pd",0.399347089022971,0.397420269505997,0.399213698409627,0.311081519509105,0.311813659953915,0.311132318499204,0.965332854014532,0.954254475724549,0.9649782453398
"Cd",0.399228777915355,0.626553966260173,0.419725852937613,0.309937394862767,0.504817338357816,0.323966046476027,0.964846392584332,0.905377211104386,0.961286853421277
"Ag",0.38717869925892,0.57025378049749,0.402766897519419,0.299719776839811,0.421044134214469,0.308242997089028,0.966691421490047,0.937174423060208,0.964352049127325
"Ru",0.381712292912598,0.898085561929278,0.441583546728844,0.295776269175114,0.713231729061566,0.326913450051294,0.967094491980633,0.861643402511938,0.957149805461278
"Ir",0.375488035431114,1.03899560714583,0.455782561427099,0.289251628968278,0.897173738775082,0.332486332354365,0.968101994131126,0.783283488203274,0.954349825630142
"Pt",0.383515839349122,0.925139834851412,0.447160311822777,0.299858530112178,0.737473504349247,0.33249936947418,0.968683834726213,0.679273933367106,0.956060659725834
"Ni",0.401070549764835,0.561677845984366,0.414714839616499,0.309839172029783,0.445976728207389,0.319639186915074,0.964883206957681,0.904138285617104,0.962205710707275
"Au",0.389368472952015,0.763660160446719,0.426528061584055,0.306887864403886,0.520548511094542,0.321897849123698,0.966925946896855,0.851825039174421,0.960021890863113
"Fe",0.397173324094554,0.498217254721469,0.404805095715758,0.309888150365468,0.392840072634975,0.315499815532009,0.965605589402786,0.938671894361681,0.963990343976515
