System,Metal,Hetatom,Cavity,Base_Cavity,y,Pred_00000,Train_00000,sac_cavity
Ag_N_din4,Ag,N,din4,din4,0.717005750000105,-0.541473708205972,False,N_din4
Ag_N_din4_c3,Ag,N,din4_c3,din4,-1.20499424999992,-0.963806307632211,False,N_din4_c3
Ag_N_din3,Ag,N,din3,din3,1.14700575000005,1.48071449212565,False,N_din3
Ag_N_rol1_din2_c2_s1,Ag,N,rol1_din2_c2_s1,rol1_din2,1.56700575000001,1.14269330683579,False,N_rol1_din2_c2_s1
Ag_N_rol3,Ag,N,rol3,rol3,-0.018994249999999,-0.273567938777206,False,N_rol3
Ag_C_din4_c4,Ag,C,din4_c4,din4,0.417005750000036,-0.430701039955418,False,C_din4_c4
Ag_N_rol1_din2,Ag,N,rol1_din2,rol1_din2,1.56000574999995,1.57673427392864,False,N_rol1_din2
Ag_C_rol1_din2_c3,Ag,C,rol1_din2_c3,rol1_din2,1.17600574999994,0.605580389619858,False,C_rol1_din2_c3
Ag_N_rol1_din2_c2_s2,Ag,N,rol1_din2_c2_s2,rol1_din2,1.57200575000001,1.14007528027097,False,N_rol1_din2_c2_s2
Ag_N_din4_c1,Ag,N,din4_c1,din4,-0.663994249999981,-0.875466419939069,False,N_din4_c1
Ag_N_din3_c1,Ag,N,din3_c1,din3,1.21800575000008,1.0775679488673,False,N_din3_c1
Ag_N_rol2_din2,Ag,N,rol2_din2,rol2_din2,-1.66499424999996,-2.35882484096209,False,N_rol2_din2
Ag_N_din4_c2_s1,Ag,N,din4_c2_s1,din4,-0.718994250000045,-0.871806888617523,False,N_din4_c2_s1
Ag_N_din4_c2_d1,Ag,N,din4_c2_d1,din4,-1.17199425000002,-1.09751272769942,False,N_din4_c2_d1
Ag_N_rol1_din2_c1_b,Ag,N,rol1_din2_c1_b,rol1_din2,1.78600574999995,1.45025306832958,False,N_rol1_din2_c1_b
Ag_N_rol2_din2_a,Ag,N,rol2_din2_a,rol2_din2,-2.53699425000003,-2.84665678537988,False,N_rol2_din2_a
Ag_N_rol2_din2_b,Ag,N,rol2_din2_b,rol2_din2,-2.07099425000002,-2.70732379420495,False,N_rol2_din2_b
Ag_C_din3_c3,Ag,C,din3_c3,din3,1.17700574999991,0.648503914259752,False,C_din3_c3
Ag_N_rol2_din2_c2_s3,Ag,N,rol2_din2_c2_s3,rol2_din2,-0.051994249999901,-0.616224042249297,False,N_rol2_din2_c2_s3
Ag_C_rol2_din2_c4,Ag,C,rol2_din2_c4,rol2_din2,-4.64399425,-4.49343462364257,False,C_rol2_din2_c4
Ag_N_din3_c2,Ag,N,din3_c2,din3,1.57000574999994,1.15896676170034,False,N_din3_c2
Ag_C_rol3_c3,Ag,C,rol3_c3,rol3,-0.836994249999983,-2.13323764590534,False,C_rol3_c3
Ag_N_din4_c2_s2,Ag,N,din4_c2_s2,din4,-1.61199424999996,-1.08523496854472,False,N_din4_c2_s2
Ag_N_rol1_din2_c1_a,Ag,N,rol1_din2_c1_a,rol1_din2,1.22000575000003,1.12133786114305,False,N_rol1_din2_c1_a
Ag_N_rol3_c2,Ag,N,rol3_c2,rol3,-0.61299425000005,-1.49576630963254,False,N_rol3_c2
Ag_N_rol2_din2_c2_s1,Ag,N,rol2_din2_c2_s1,rol2_din2,-3.89099425000007,-3.54615980596197,False,N_rol2_din2_c2_s1
Ag_N_rol2_din2_c2_s2,Ag,N,rol2_din2_c2_s2,rol2_din2,-3.40299425000001,-3.43015574362085,False,N_rol2_din2_c2_s2
Ag_N_din4_c2_d2,Ag,N,din4_c2_d2,din4,-1.17199425000002,-1.06482086637481,False,N_din4_c2_d2
Ag_N_rol2_din2_c2_d1,Ag,N,rol2_din2_c2_d1,rol2_din2,-2.90999425000008,-3.25259509194558,False,N_rol2_din2_c2_d1
Ag_N_rol3_c1,Ag,N,rol3_c1,rol3,-0.182994249999986,-0.746905993669517,False,N_rol3_c1
Au_N_rol2_din2_c2_s2,Au,N,rol2_din2_c2_s2,rol2_din2,-4.29529049999991,-3.77913747475011,False,N_rol2_din2_c2_s2
Au_C_rol1_din2_c3,Au,C,rol1_din2_c3,rol1_din2,1.41470950000001,-0.470163871594886,False,C_rol1_din2_c3
Au_N_rol2_din2,Au,N,rol2_din2,rol2_din2,-1.3442905,-2.59490559750777,False,N_rol2_din2
Au_N_din4_c3,Au,N,din4_c3,din4,-2.15329049999997,-1.91939973998381,False,N_din4_c3
Au_N_rol1_din2_c2_s1,Au,N,rol1_din2_c2_s1,rol1_din2,1.8527095,0.694816711804703,False,N_rol1_din2_c2_s1
Au_N_din4_c2_s1,Au,N,din4_c2_s1,din4,-1.47929049999999,-1.93087147903055,False,N_din4_c2_s1
Au_N_rol3_c1,Au,N,rol3_c1,rol3,0.189709499999988,-1.21915934720962,False,N_rol3_c1
Au_N_din4_c1,Au,N,din4_c1,din4,-1.34229050000005,-1.90283139108946,False,N_din4_c1
Au_N_rol2_din2_b,Au,N,rol2_din2_b,rol2_din2,-2.61229050000003,-2.89246193925842,False,N_rol2_din2_b
Au_N_din3_c2,Au,N,din3_c2,din3,1.85670950000002,0.701436273436838,False,N_din3_c2
Au_N_rol2_din2_c2_s3,Au,N,rol2_din2_c2_s3,rol2_din2,0.269709500000029,-1.37462735868355,False,N_rol2_din2_c2_s3
