metal,Ecoh,atomic_mass,vdw_radius,r_cov_sb,r_cov_db,dipole_polarizability,ionic_radii_crystals,d_center_sp,Paul_electroneg,MB_electroneg,electron_affinity,covalent_radius,atomic_number,Ion_energ_I,Ion_energ_II,Zung_radius,Coh_radius,Waber_radius,mied_param_h,mied_param_phi,HOMO ,LUMO,mag_moment_bulk_d, E_Fermi,E_Fermi2
Ag,-3.20700575,107.8682,211,128,139,55,0.67,-4.428868,1.93,1.07,1.302,145,47,7.576234,21.4844,1.045,1.33,1.286,1.39,4.45,-4.6571,-3.8832,36.830452,0,0.1
Au,-3.8767095,196.966569,214,124,121,36,0.68,-4.095292,2.4,1.19,2.30863,136,79,9.225553,20.203,1.21,1.45,1.187,1.57,5.15,-6.623,-5.2894,36.974733,1,1.1
Cd,-1.2330587,112.414,218,136,144,46,0.78,-9.00195,1.69,1.4,-0.72,144,48,8.993822,16.908312,0.985,1.23,1.184,1.24,4.05,-5.5936,-1.1349,18.447707,2,2.1
Co,-7.3844395,58.933194,200,111,103,55,0.58,-2.118685,1.88,1.72,0.6622,126,27,7.88101,17.0844,0.92,1.1,1.181,1.75,5.1,-3.9514,-3.8452,12.365391,3,3.1
Cu,-4.23458825,63.546,196,112,115,46.5,0.57,-2.926845,1.9,1.08,1.235,132,29,7.72638,20.29239,0.88,1.16,1.191,1.47,4.55,-4.8401,-4.0099,36.542172,4,4.1
Fe,-8.6197175,55.845,204,116,109,62,0.63,-1.906729,1.83,1.67,0.151,132,26,7.9024678,16.1992,0.95,1.16,1.227,1.77,4.93,-3.5769,-3.5542,12.365391,5,5.1
Ir,-9.56008375,192.217,213,122,115,54,0.68,-3.868823,2.2,1.87,1.5638,141,77,8.96702,17,1.16,1.468,1.227,1.83,5.55,-4.68,-4.614,27.414532,6,6.1
Ni,-5.86878875,58.6934,197,110,101,49,0.49,-2.07977,1.91,1.76,1.156,124,28,7.639877,18.168837,0.96,1.22,1.139,1.75,5.2,-3.8312,-3.8116,32.738905,7,7.1
Os,-11.839378,190.23,216,129,116,57,0.39,-3.768764,2.2,1.85,1.1,144,76,8.43823,17,1.17,1.48,1.266,1.85,5.4,-4.8388,-4.7568,11.933888,8,8.1
Pd,-5.79450325,106.42,210,120,117,26.14,0.64,-2.545322,2.2,2.08,0.562,139,46,8.33686,19.43,1.08,1.37,0,1.67,5.45,-3.9539,-3.2835,33.052647,9,9.1
Pt,-6.8665185,195.084,213,123,112,48,0.6,-3.353229,2.2,1.91,2.128,136,78,8.95883,18.56,1.24,1.46,1.221,1.78,5.65,-5.3211,-5.2186,31.475568,10,10.1
Rh,-7.850822,102.9055,210,125,110,66,0.665,-3.069932,2.28,1.99,1.137,142,45,7.4589,18.08,1.11,1.41,1.364,1.76,5.4,-4.6611,-4.2897,29.253779,11,11.1
Ru,-9.8124665,101.07,213,125,114,72,0.68,-3.193722,2.2,1.97,1.05,146,44,7.3605,16.76,1.145,1.46,1.41,1.83,5.4,-3.9951,-3.6556,13.072705,12,12.1
Zn,-1.61724415,65.38,201,118,120,38.67,0.6,-7.791121,1.65,1.44,-0.62,122,30,9.394199,17.96439,0.82,1.06,1.065,1.32,4.1,-3.0469,-2.5297,20.965413,13,13.1
