system,tot_energy
Ag_C_din4_x2_c6,-622.023
Au_C_din4_x2_c6,-624.02
Cd_C_din4_x2_c6,-616.759
Co_C_din4_x2_c6,-623.847
Cu_C_din4_x2_c6,-623.033
Fe_C_din4_x2_c6,-625.429
Ir_C_din4_x2_c6,-628.371
Ni_C_din4_x2_c6,-624.669
Os_C_din4_x2_c6,-629.574
Pd_C_din4_x2_c6,-621.945
Pt_C_din4_x2_c6,-623.539
Rh_C_din4_x2_c6,-624.636
Ru_C_din4_x2_c6,-627.485
Zn_C_din4_x2_c6,-618.385
Ag_C_din6_as_c6,-620.117
Au_C_din6_as_c6,-621.818
Cd_C_din6_as_c6,-617.65
Co_C_din6_as_c6,-624.874
Cu_C_din6_as_c6,-622.012
Fe_C_din6_as_c6,-626.479
Ir_C_din6_as_c6,-627.017
Ni_C_din6_as_c6,-623.751
Os_C_din6_as_c6,-628.759
Pd_C_din6_as_c6,-623.186
Pt_C_din6_as_c6,-624.929
Rh_C_din6_as_c6,-625.35
Ru_C_din6_as_c6,-626.773
Zn_C_din6_as_c6,-619.58
Ag_C_din6_s_c6,-598.999
Au_C_din6_s_c6,-600.169
Cd_C_din6_s_c6,-597.686
Co_C_din6_s_c6,-602.548
Cu_C_din6_s_c6,-599.676
Fe_C_din6_s_c6,-604.104
Ir_C_din6_s_c6,-604.673
Ni_C_din6_s_c6,-601.489
Os_C_din6_s_c6,-606.093
Pd_C_din6_s_c6,-601.936
Pt_C_din6_s_c6,-603.347
Rh_C_din6_s_c6,-603.266
Ru_C_din6_s_c6,-604.64
Zn_C_din6_s_c6,-597.706
Ag_N_din4_x2_c0,-619.161
Au_N_din4_x2_c0,-620.183
Cd_N_din4_x2_c0,-618.024
Co_N_din4_x2_c0,-625.854
Cu_N_din4_x2_c0,-621.457
Fe_N_din4_x2_c0,-627.485
Ir_N_din4_x2_c0,-627.742
Ni_N_din4_x2_c0,-624.047
Os_N_din4_x2_c0,-630.095
Pd_N_din4_x2_c0,-623.425
Pt_N_din4_x2_c0,-624.881
Rh_N_din4_x2_c0,-626.06
Ru_N_din4_x2_c0,-628.075
Zn_N_din4_x2_c0,-619.405
Ag_N_din4_x2_c1_a,-620.832
Au_N_din4_x2_c1_a,-620.576
Cd_N_din4_x2_c1_a,-620.021
Co_N_din4_x2_c1_a,-625.259
Cu_N_din4_x2_c1_a,-622.767
Fe_N_din4_x2_c1_a,-626.741
