system,tot_energy
C_din4_x2_c6,-613.178
C_din6_as_c6,-615.751
C_din6_s_c6,-593.77
N_din4_x2_c0,-614.297
N_din4_x2_c1_a,-616.776
N_din4_x2_c1_b,-614.007
N_din4_x2_c2_a,-617.773
N_din4_x2_c2_b,-616.48
N_din4_x2_c2_c,-616.943
N_din4_x2_c2_d,-615.769
N_din4_x2_c2_e,-616.48
N_din4_x2_c2_f,-613.375
N_din4_x2_c2_g,-616.116
N_din4_x2_c3_a,-614.975
N_din4_x2_c3_b,-616.592
N_din4_x2_c3_c,-615.869
N_din4_x2_c3_d,-617.226
N_din4_x2_c4_a,-616.114
N_din4_x2_c4_b,-614.673
N_din4_x2_c4_c,-616.165
N_din4_x2_c4_d,-615.945
N_din4_x2_c4_e,-615.582
N_din4_x2_c4_f,-617.076
N_din4_x2_c5_a,-614.849
N_din4_x2_c5_b,-614.569
N_din6_as_c0,-618.513
N_din6_as_c1_1,-617.784
N_din6_as_c1_2,-617.509
N_din6_as_c1_3,-617.827
N_din6_as_c2_12,-616.787
N_din6_as_c2_13,-617.063
N_din6_as_c2_14,-617.025
N_din6_as_c2_15,-616.717
N_din6_as_c2_16,-618.089
N_din6_as_c2_23,-616.655
N_din6_as_c2_24,-616.717
N_din6_as_c2_25,-616.416
N_din6_as_c2_26,-616.83
N_din6_as_c2_34,-618.089
N_din6_as_c2_35,-616.83
N_din6_as_c2_36,-617.154
N_din6_as_c3_123,-615.893
N_din6_as_c3_124,-615.966
N_din6_as_c3_125,-615.637
N_din6_as_c3_163,-617.437
N_din6_as_c3_164,-617.328
N_din6_as_c3_165,-616.872
N_din6_as_c3_216,-617.265
N_din6_as_c3_235,-615.565
N_din6_as_c3_236,-615.994
N_din6_as_c3_253,-615.565
N_din6_as_c3_254,-615.638
N_din6_as_c3_346,-617.437
N_din6_as_c4_2346,-616.229
N_din6_as_c4_2456,-615.875
N_din6_as_c4_3216,-616.457
N_din6_as_c4_3456,-616.457
N_din6_as_c4_6124,-616.445
N_din6_as_c4_6125,-615.951
N_din6_as_c5_12345,-615.147
N_din6_as_c5_12346,-616.891
N_din6_s_c0,-600.797
N_din6_s_c1,-599.834
N_din6_s_c2_01,-598.699
N_din6_s_c2_02,-598.852
N_din6_s_c2_12,-598.699
N_din6_s_c2_15,-598.852
N_din6_s_c3_012,-597.538
N_din6_s_c3_013,-597.699
N_din6_s_c3_024,-597.85
N_din6_s_c4_0123,-596.358
N_din6_s_c4_0124,-596.517
N_din6_s_c4_0134,-596.525
N_din6_s_c5,-595.157
